actual,proposed
0.0,0.05014665052294731
0.0,0.054017771035432816
0.0,0.057728223502635956
0.0677979439496994,0.0637839287519455
0.07433285564184189,0.06452612578868866
0.0764719769358635,0.06299345940351486
0.08735580742359161,0.06683548539876938
0.10250319540500641,0.0730050578713417
0.1087823435664177,0.0738469660282135
0.11068019270896912,0.0724022388458252
0.12133555859327316,0.07632175832986832
0.12319118529558182,0.07512891292572021
0.1294489949941635,0.07678305357694626
0.13568836450576782,0.07849576324224472
0.1331927627325058,0.07530352473258972
0.13080254197120667,0.07265350222587585
0.1328723132610321,0.07293247431516647
0.13933855295181274,0.07581564784049988
0.13706238567829132,0.073600172996521
0.1305254101753235,0.06928817182779312
0.12414328008890152,0.06554345041513443
0.1179099753499031,0.062271203845739365
0.11181861162185669,0.059391818940639496
0.10586366802453995,0.05683954805135727
0.09568043053150177,0.05208206549286842
0.08132421970367432,0.0
0.06720569729804993,0.0
0.05767383426427841,0.0
0.04394052177667618,0.0
0.03041752427816391,0.0
0.017096206545829773,0.0
